234,8.482909440994263,59920,2.30209,0.11410
469,21.069746494293213,119840,2.30145,0.10280
704,33.70508527755737,179760,2.30076,0.10280
939,46.42562747001648,239680,2.30003,0.10280
1174,59.16919732093811,299600,2.29921,0.10360
1409,71.63995862007141,359520,2.29824,0.11510
1644,84.02205848693848,419440,2.29699,0.14240
1879,96.34598541259766,479360,2.29539,0.17240
2114,108.72824907302856,539280,2.29324,0.21340
2349,121.01692414283752,599200,2.29018,0.26390
2584,133.50184869766235,659120,2.28537,0.30660
2819,146.53450441360474,719040,2.27655,0.35210
3054,159.51922345161438,778960,2.26004,0.36990
3289,172.2908489704132,838880,2.22625,0.38210
3524,185.1782510280609,898800,2.12497,0.40200
3759,198.02281737327576,958720,1.85337,0.45460
3994,210.82679057121277,1018640,1.56593,0.46940
4229,223.64521145820618,1078560,1.37399,0.52410
4464,236.45225644111633,1138480,1.29768,0.53830
4699,249.33773064613342,1198400,1.25534,0.54290
