4193,29.797572374343872,59984,1.76772,0.30300
8383,60.01026177406311,119936,1.85932,0.20910
12725,91.44696474075317,179928,1.84995,0.20920
16816,121.0077428817749,239928,1.84434,0.20980
20935,150.79510736465454,299928,1.85540,0.21010
25109,181.0331859588623,359920,1.99058,0.21060
29235,210.80064368247986,419920,1.84807,0.21010
33347,240.35122680664062,479920,2.05963,0.20890
37579,270.7274227142334,539872,2.05610,0.21070
41740,300.6561326980591,599872,2.05463,0.21080
45928,330.9003372192383,659864,2.05414,0.20950
50138,361.1688108444214,719864,2.05239,0.21030
54446,392.14881205558777,779864,2.05175,0.21020
58630,422.28238105773926,839824,2.05230,0.20970
62854,452.87372493743896,899824,2.30256,0.09800
67183,484.172003030777,959824,2.30256,0.09800
71432,514.7972650527954,1019800,2.30256,0.09800
75545,544.6303625106812,1079752,2.30256,0.09800
79790,575.4065456390381,1139752,2.30256,0.09800
84084,606.5970268249512,1199752,2.30256,0.09800
