0,0.5128917694091797,60000,2.30301,0.09920
246,2.377446174621582,120024,2.28150,0.10320
282,3.397683620452881,188564,2.27597,0.10320
528,5.305089950561523,248588,2.19807,0.21060
774,7.252702474594116,308612,2.01814,0.32550
1020,9.125852823257446,368636,1.73368,0.62650
1244,11.35660982131958,483048,1.45324,0.68170
1490,13.247070074081421,543072,1.19796,0.69540
1664,15.146032333374023,645284,1.06561,0.72050
1700,16.15515375137329,713824,1.04689,0.72770
1770,17.372108459472656,790660,0.99735,0.74860
1809,18.37669849395752,859932,0.97528,0.75740
2055,20.279057264328003,919956,0.86664,0.77200
2301,22.14447569847107,979980,0.78705,0.78930
2323,23.053149700164795,1045104,0.78121,0.79050
2569,24.962523221969604,1105128,0.71262,0.80550
2681,26.45068073272705,1192212,0.69136,0.80960
2743,27.632402420043945,1267096,0.67393,0.82340
2936,29.694136381149292,1373944,0.63671,0.83120
3144,31.82078766822815,1484452,0.60672,0.84650
3390,33.67276668548584,1544476,0.56576,0.85570
3636,35.62545847892761,1604500,0.53920,0.86500
3882,37.52992010116577,1664524,0.51962,0.86970
4128,39.41039514541626,1724548,0.50628,0.87190
4256,41.033124923706055,1815536,0.49956,0.87270
4333,42.32726502418518,1894080,0.49255,0.87560
4515,44.312089681625366,1998244,0.48159,0.87330
4533,45.19216537475586,2062392,0.47545,0.87450
4779,47.0395143032074,2122416,0.46503,0.87910
4929,48.7423837184906,2218772,0.45543,0.88260
5175,50.619590520858765,2278796,0.44546,0.88190
5421,52.476739168167114,2338820,0.44293,0.88080
5650,54.75720000267029,2454452,0.44583,0.87850
5757,56.21947693824768,2540316,0.44525,0.87660
5974,58.386804819107056,2653020,0.42045,0.88540
6053,59.66235017776489,2732052,0.42524,0.88190
6299,61.512232303619385,2792076,0.41314,0.88720
6373,62.76496195793152,2869888,0.40998,0.88790
6619,64.63820362091064,2929912,0.40999,0.88730
6703,65.96461772918701,3010164,0.40989,0.88670
6949,67.8362865447998,3070188,0.39443,0.89170
7195,69.74025368690491,3130212,0.39764,0.89060
7441,71.58822321891785,3190236,0.40004,0.89100
7446,72.38017010688782,3251212,0.40056,0.89090
7678,74.6642656326294,3367576,0.41449,0.88530
7765,76.01566505432129,3448560,0.39417,0.89350
8011,77.90089702606201,3508584,0.39224,0.89200
8256,80.2630205154419,3628120,0.39342,0.89230
8341,81.56927561759949,3708616,0.37891,0.89670
8587,83.44836091995239,3768640,0.38208,0.89480
8833,85.37516140937805,3828664,0.38407,0.89410
8886,86.49409079551697,3901352,0.38591,0.89200
8892,87.29586338996887,3962572,0.38075,0.89400
9113,89.52640581130981,4076252,0.37121,0.89750
9124,90.36668658256531,4138692,0.36268,0.89920
9206,91.68192481994629,4218456,0.36315,0.89850
9452,93.56558418273926,4278480,0.36609,0.89600
9698,95.45719242095947,4338504,0.36946,0.89760
9944,97.37442207336426,4398528,0.37476,0.89670
10006,98.54127144813538,4473412,0.37782,0.89460
10158,100.30843472480774,4570256,0.38027,0.89270
10174,101.17807364463806,4633916,0.36713,0.90020
10420,103.0749728679657,4693940,0.37142,0.89820
10477,104.22027850151062,4767604,0.37151,0.89780
10723,106.10742616653442,4827628,0.36480,0.90150
10923,108.20800018310547,4936184,0.36557,0.90120
10959,109.20744466781616,5004724,0.35493,0.90320
11205,111.08631372451782,5064748,0.35402,0.90030
11305,112.53459978103638,5148904,0.35215,0.90080
11492,114.54478216171265,5254288,0.34757,0.90430
11699,116.69520020484924,5364552,0.34402,0.90520
11945,118.6164333820343,5424576,0.34728,0.90220
12191,120.5022394657135,5484600,0.35436,0.89990
12437,122.38725686073303,5544624,0.35738,0.89970
12633,124.41144800186157,5652204,0.36183,0.89830
12879,126.27651357650757,5712228,0.35108,0.90560
12942,127.46869373321533,5787356,0.35156,0.90450
13081,129.1732692718506,5881028,0.36421,0.89760
13178,130.6368145942688,5964452,0.34759,0.90470
13201,131.57038116455078,6029820,0.33775,0.90780
13319,133.12195229530334,6118368,0.34404,0.90620
13447,134.72878623008728,6209356,0.34289,0.90750
13638,136.7520363330841,6315716,0.35742,0.89970
13641,137.54220247268677,6376204,0.35152,0.90170
13830,139.56703662872314,6482076,0.34494,0.90150
